seed,lambda,SSIM,H1,S1,V1,H2,S2,V2,H3,S3,V3,H4,S4,V4,H5,S5,V5,Monochromatic,Analogous,Complementary,Triadic,Split Complementary,Double Complementary,Color,Variable,Feature,Space,Method,Subfolder
2323,0.0,25694.395,0,0,0,19,29,76,32.0,13.0,74.0,16.0,37.0,71.0,27.0,20.0,68.0,0.0,1.0,0.0,0.0,0.0,0.0,BW,S1,cont,w,InterfaceGAN_LR_0.1_8_S1_True,interfaceGAN/saturation/
2323,1.0,25755.902,120,100,0,19,36,75,35.0,20.0,73.0,15.0,45.0,70.0,29.0,27.0,68.0,0.0,1.0,0.0,0.0,0.0,0.0,BW,S1,cont,w,InterfaceGAN_LR_0.1_8_S1_True,interfaceGAN/saturation/
2323,2.0,25340.95,19,44,73,180,100,0,28.0,37.0,67.0,15.0,51.0,71.0,31.0,33.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,Brown,S1,cont,w,InterfaceGAN_LR_0.1_8_S1_True,interfaceGAN/saturation/
2323,3.0,25552.02,19,48,74,0,0,0,14.0,51.0,69.0,25.0,42.0,75.0,10.0,57.0,72.0,1.0,1.0,0.0,0.0,0.0,0.0,Brown,S1,cont,w,InterfaceGAN_LR_0.1_8_S1_True,interfaceGAN/saturation/
2323,4.0,25620.41,10,56,73,0,0,0,15.0,51.0,75.0,12.0,66.0,75.0,2.0,58.0,72.0,1.0,1.0,0.0,0.0,0.0,0.0,Red,S1,cont,w,InterfaceGAN_LR_0.1_8_S1_True,interfaceGAN/saturation/
2323,5.0,26272.451,6,62,73,0,0,0,10.0,70.0,75.0,12.0,63.0,78.0,16.0,78.0,73.0,0.0,1.0,0.0,0.0,0.0,0.0,Red,S1,cont,w,InterfaceGAN_LR_0.1_8_S1_True,interfaceGAN/saturation/
2323,6.0,26533.91,4,67,73,0,0,0,6.0,73.0,78.0,13.0,72.0,82.0,17.0,82.0,76.0,0.0,1.0,0.0,0.0,0.0,0.0,Red,S1,cont,w,InterfaceGAN_LR_0.1_8_S1_True,interfaceGAN/saturation/
2323,7.0,24457.062,4,73,76,0,50,1,16.0,84.0,79.0,5.0,77.0,81.0,12.0,84.0,85.0,0.0,1.0,0.0,0.0,0.0,0.0,Red,S1,cont,w,InterfaceGAN_LR_0.1_8_S1_True,interfaceGAN/saturation/
2323,8.0,24674.0,4,77,78,20,100,1,18.0,84.0,85.0,4.0,78.0,86.0,11.0,80.0,85.0,0.0,1.0,0.0,0.0,0.0,0.0,Red,S1,cont,w,InterfaceGAN_LR_0.1_8_S1_True,interfaceGAN/saturation/
2323,9.0,24971.82,4,77,83,14,82,86,20.0,100.0,1.0,19.0,91.0,72.0,0.0,73.0,77.0,0.0,1.0,0.0,0.0,0.0,0.0,Red,S1,cont,w,InterfaceGAN_LR_0.1_8_S1_True,interfaceGAN/saturation/
