seed,lambda,SSIM,H1,S1,V1,H2,S2,V2,H3,S3,V3,H4,S4,V4,H5,S5,V5,Monochromatic,Analogous,Complementary,Triadic,Split Complementary,Double Complementary,Color,Variable,Feature,Space,Method,Subfolder
658,0.0,23328.03,72,14,42,47,35,61,0.0,0.0,0.0,56.0,21.0,51.0,172.0,8.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
658,1.0,24465.262,67,14,51,48,36,68,0.0,0.0,0.0,49.0,29.0,51.0,48.0,26.0,65.0,0.0,1.0,0.0,0.0,0.0,0.0,Yellow,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
658,2.0,25181.664,48,17,58,46,28,70,0.0,0.0,0.0,53.0,28.0,60.0,47.0,39.0,71.0,1.0,1.0,0.0,0.0,0.0,0.0,Yellow,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
658,3.0,26080.312,45,24,67,45,34,73,45.0,19.0,81.0,0.0,0.0,0.0,30.0,34.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,Yellow,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
658,4.0,26391.414,49,23,74,48,22,85,47.0,23.0,66.0,0.0,0.0,0.0,32.0,32.0,77.0,0.0,1.0,0.0,0.0,0.0,0.0,Yellow,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
658,5.0,26745.334,51,16,87,56,19,69,50.0,22.0,79.0,0.0,0.0,0.0,32.0,22.0,73.0,0.0,1.0,0.0,0.0,0.0,0.0,Yellow,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
658,6.0,28069.379,51,12,90,62,17,78,67.0,16.0,68.0,35.0,27.0,76.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Yellow,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
658,7.0,28790.504,52,10,93,56,13,83,60.0,15.0,74.0,43.0,16.0,69.0,25.0,23.0,89.0,0.0,1.0,0.0,0.0,0.0,0.0,Yellow,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
658,8.0,30019.059,48,6,93,58,14,80,64.0,12.0,93.0,63.0,13.0,66.0,28.0,16.0,79.0,0.0,1.0,0.0,0.0,0.0,0.0,Yellow,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
658,9.0,31510.48,49,5,95,67,11,92,57.0,11.0,83.0,88.0,13.0,71.0,22.0,20.0,78.0,0.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
658,10.0,31894.133,53,4,96,78,10,95,68.0,14.0,86.0,60.0,8.0,82.0,60.0,15.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
658,11.0,31847.998,40,4,96,82,8,93,66.0,9.0,83.0,62.0,15.0,93.0,358.0,12.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
658,12.0,29485.043,36,4,95,63,9,91,45.0,6.0,83.0,67.0,13.0,80.0,60.0,16.0,88.0,0.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
658,13.0,26182.197,40,4,95,42,6,86,53.0,11.0,92.0,63.0,10.0,80.0,66.0,16.0,88.0,0.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
658,14.0,27537.943,42,4,93,42,6,84,55.0,11.0,93.0,40.0,8.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
658,15.0,27138.506,47,4,92,54,5,83,41.0,8.0,75.0,72.0,11.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
5756,0.0,18512.916,0,0,73,0,0,0,0.0,0.0,64.0,0.0,0.0,38.0,0.0,0.0,55.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
5756,1.0,18362.307,0,0,77,0,0,0,0.0,0.0,68.0,0.0,0.0,39.0,0.0,0.0,60.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
5756,2.0,18724.752,0,0,80,0,0,69,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,38.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
5756,3.0,18389.523,0,0,84,0,0,67,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,46.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
5756,4.0,18716.676,60,0,87,0,0,0,0.0,0.0,76.0,0.0,0.0,66.0,0.0,0.0,56.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
5756,5.0,19631.695,60,0,89,0,0,0,0.0,0.0,78.0,0.0,0.0,69.0,0.0,0.0,54.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
5756,6.0,22700.775,60,0,89,0,0,0,0.0,0.0,80.0,0.0,0.0,69.0,0.0,0.0,55.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
5756,7.0,24494.2,60,0,89,0,0,79,0.0,0.0,0.0,0.0,1.0,68.0,0.0,1.0,45.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
5756,8.0,24992.75,60,0,87,30,1,79,30.0,1.0,64.0,0.0,0.0,100.0,0.0,1.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
5756,9.0,24652.203,60,0,86,33,5,80,0.0,0.0,100.0,30.0,1.0,54.0,0.0,1.0,69.0,0.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
5756,10.0,24077.027,60,0,85,38,6,78,0.0,0.0,100.0,34.0,12.0,67.0,0.0,1.0,69.0,0.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
5756,11.0,23523.953,180,0,81,40,6,75,39.0,10.0,67.0,0.0,0.0,100.0,60.0,0.0,90.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
5756,12.0,22790.32,180,0,78,49,6,69,60.0,1.0,90.0,31.0,11.0,80.0,0.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
5756,13.0,21748.562,180,1,76,180,1,67,38.0,11.0,65.0,31.0,11.0,75.0,60.0,1.0,87.0,0.0,0.0,0.0,0.0,1.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
5756,14.0,20140.744,30,1,69,37,14,60,0.0,0.0,59.0,40.0,1.0,83.0,34.0,13.0,69.0,0.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
5756,15.0,18284.46,30,6,55,30,4,65,36.0,2.0,80.0,26.0,6.0,47.0,35.0,16.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,Brown,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
5979,0.0,24803.164,0,0,75,0,0,0,0.0,0.0,66.0,0.0,0.0,55.0,0.0,0.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
5979,1.0,26563.324,0,0,77,0,0,68,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,46.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
5979,2.0,26045.74,0,0,79,0,0,70,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,36.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
5979,3.0,27609.018,0,0,81,0,0,72,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,47.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
5979,4.0,28907.174,0,0,86,0,0,77,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,59.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
5979,5.0,30901.486,120,0,90,0,0,81,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,62.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
5979,6.0,32492.354,0,0,91,0,0,82,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,52.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
5979,7.0,33234.1,27,4,93,0,0,81,0.0,0.0,0.0,0.0,0.0,69.0,60.0,1.0,55.0,0.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
5979,8.0,33176.676,30,5,91,0,0,100,0.0,0.0,0.0,60.0,0.0,80.0,60.0,1.0,70.0,0.0,1.0,0.0,0.0,0.0,0.0,BW,V1,cont,w,InterfaceGAN_LR_0.1_8_V1_True,interfaceGAN/value/
