seed,lambda,SSIM,H1,S1,V1,H2,S2,V2,H3,S3,V3,H4,S4,V4,H5,S5,V5,Monochromatic,Analogous,Complementary,Triadic,Split Complementary,Double Complementary,Color,Variable,Feature,Space,Method,Subfolder
437,0.0,4930.0474,0,0,0,0,0,21,0.0,0.0,28.0,0.0,0.0,36.0,0.0,0.0,44.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
437,1.0,4748.2314,0,0,0,0,0,28,0.0,0.0,38.0,0.0,0.0,66.0,0.0,0.0,48.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
437,2.0,4480.3257,0,0,0,0,0,25,0.0,0.0,34.0,0.0,0.0,43.0,0.0,0.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
437,3.0,4175.112,0,0,0,0,0,27,0.0,0.0,55.0,0.0,0.0,40.0,0.0,0.0,78.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
437,4.0,3841.2134,0,0,0,0,0,22,0.0,0.0,48.0,60.0,0.0,83.0,60.0,1.0,66.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
437,5.0,3499.4702,0,0,0,0,0,31,0.0,0.0,55.0,0.0,0.0,43.0,60.0,1.0,75.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
437,6.0,3290.837,0,0,0,60,0,79,0.0,0.0,51.0,0.0,0.0,25.0,60.0,1.0,60.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
437,7.0,3009.9985,0,0,0,0,0,48,0.0,1.0,59.0,0.0,0.0,38.0,0.0,0.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
437,8.0,2661.5361,0,0,0,0,0,47,0.0,0.0,25.0,0.0,0.0,56.0,0.0,0.0,65.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
437,9.0,2261.9946,0,0,0,0,0,55,0.0,0.0,29.0,0.0,0.0,37.0,60.0,1.0,65.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
437,10.0,1791.6576,0,0,0,0,0,39,0.0,0.0,24.0,0.0,0.0,50.0,60.0,1.0,68.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
437,11.0,1262.1022,0,0,0,0,0,35,0.0,0.0,23.0,0.0,0.0,44.0,0.0,1.0,55.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
437,12.0,996.391,0,0,0,0,0,31,60.0,1.0,55.0,0.0,0.0,13.0,0.0,1.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
437,13.0,906.7903,0,0,0,0,0,34,0.0,0.0,47.0,0.0,0.0,13.0,0.0,0.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
437,14.0,864.1037,0,0,0,0,0,25,0.0,0.0,14.0,60.0,1.0,55.0,0.0,0.0,33.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
437,15.0,846.9108,0,0,0,0,0,42,0.0,0.0,20.0,0.0,1.0,34.0,60.0,1.0,66.0,0.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2650,0.0,39666.96,32,9,83,41,12,74,36.0,13.0,59.0,32.0,16.0,47.0,41.0,22.0,66.0,1.0,1.0,0.0,0.0,0.0,0.0,Brown,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2650,1.0,39626.023,32,9,82,37,11,73,32.0,16.0,63.0,34.0,21.0,52.0,18.0,31.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,Brown,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
