seed,lambda,SSIM,H1,S1,V1,H2,S2,V2,H3,S3,V3,H4,S4,V4,H5,S5,V5,Monochromatic,Analogous,Complementary,Triadic,Split Complementary,Double Complementary,Color,Variable,Feature,Space,Method,Subfolder
1209,0.0,12365.04,10,43,53,14,37,60,34.0,30.0,42.0,23.0,43.0,47.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Red,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
1209,1.0,12889.345,11,42,56,29,33,47,16.0,37.0,61.0,19.0,42.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Red,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
1209,2.0,12612.581,12,44,56,29,37,47,16.0,37.0,61.0,0.0,0.0,0.0,28.0,42.0,38.0,0.0,1.0,0.0,0.0,0.0,0.0,Red,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
1209,3.0,12644.71,12,43,55,15,35,61,21.0,45.0,47.0,34.0,31.0,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Red,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
1209,4.0,12989.162,13,45,57,17,36,62,30.0,35.0,49.0,0.0,0.0,0.0,10.0,44.0,48.0,0.0,1.0,0.0,0.0,0.0,0.0,Red,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
1209,5.0,12021.431,13,45,56,18,35,62,30.0,43.0,48.0,0.0,0.0,0.0,18.0,40.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,Red,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
1209,6.0,12439.1455,14,45,56,18,34,65,0.0,0.0,0.0,27.0,46.0,47.0,49.0,29.0,38.0,0.0,1.0,0.0,0.0,0.0,0.0,Red,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
1209,7.0,11831.576,14,47,56,19,32,66,0.0,0.0,0.0,34.0,40.0,47.0,20.0,44.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0,Red,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
1209,8.0,11423.943,15,46,58,0,0,0,19.0,36.0,70.0,25.0,45.0,49.0,34.0,25.0,72.0,0.0,1.0,0.0,0.0,0.0,0.0,Red,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
1209,9.0,12486.178,16,46,60,0,0,0,19.0,36.0,69.0,17.0,45.0,49.0,32.0,28.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,Brown,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
1209,10.0,12003.003,17,45,60,0,0,0,19.0,35.0,69.0,33.0,41.0,47.0,33.0,22.0,77.0,0.0,1.0,0.0,0.0,0.0,0.0,Brown,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
1209,11.0,12246.209,18,42,63,0,0,0,32.0,23.0,70.0,24.0,45.0,47.0,19.0,34.0,69.0,0.0,1.0,0.0,0.0,0.0,0.0,Brown,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
1209,12.0,12319.355,0,0,0,18,43,62,20.0,33.0,70.0,21.0,49.0,48.0,36.0,27.0,73.0,0.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
1209,13.0,12141.332,0,0,0,18,42,60,20.0,32.0,69.0,38.0,38.0,47.0,32.0,20.0,79.0,0.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
1209,14.0,11362.053,0,0,0,20,38,64,34.0,21.0,75.0,22.0,29.0,69.0,37.0,35.0,52.0,0.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
1209,15.0,11405.331,0,0,0,20,38,62,21.0,27.0,70.0,36.0,38.0,50.0,33.0,22.0,73.0,0.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
8222,0.0,6790.431,0,0,0,0,0,40,0.0,0.0,9.0,0.0,0.0,53.0,0.0,0.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
8222,1.0,6396.4287,0,0,0,0,0,56,0.0,0.0,9.0,0.0,0.0,43.0,0.0,0.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
8222,2.0,5953.7856,0,0,0,0,0,56,0.0,0.0,31.0,0.0,0.0,9.0,0.0,0.0,47.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
8222,3.0,5627.699,0,0,0,0,0,56,0.0,0.0,10.0,0.0,0.0,47.0,0.0,0.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
8222,4.0,5575.0933,0,0,0,0,0,58,0.0,0.0,9.0,0.0,0.0,34.0,0.0,0.0,48.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
8222,5.0,5438.4287,0,0,0,0,0,57,0.0,0.0,9.0,0.0,0.0,28.0,0.0,0.0,48.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
8222,6.0,5424.118,0,0,0,0,0,62,0.0,0.0,52.0,0.0,0.0,9.0,0.0,0.0,31.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
8222,7.0,5358.106,0,0,0,0,0,62,0.0,0.0,53.0,0.0,0.0,9.0,0.0,0.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
8222,8.0,5446.824,0,0,0,0,0,62,0.0,0.0,53.0,0.0,0.0,9.0,0.0,0.0,42.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
8222,9.0,5327.5283,0,0,0,0,0,61,0.0,0.0,10.0,0.0,0.0,52.0,0.0,0.0,69.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
8222,10.0,5298.724,0,0,0,0,0,62,0.0,0.0,53.0,0.0,0.0,9.0,0.0,0.0,71.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
8222,11.0,5314.9204,0,0,0,0,0,60,0.0,0.0,69.0,0.0,0.0,9.0,0.0,0.0,33.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
8222,12.0,5454.45,0,0,0,0,0,62,0.0,0.0,71.0,0.0,0.0,10.0,0.0,0.0,54.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
8222,13.0,5275.365,0,0,0,0,0,62,0.0,0.0,71.0,0.0,0.0,9.0,0.0,0.0,52.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,StyleSpaceTrue_1_8_Color_False,StyleSpace/color/
