Method,Variable,Feature,Broad,Optimal lambda,Total Score,Score lambda 1,Score lambda 2,Score lambda 3,Score lambda 4,Score lambda 5,Score lambda 6,Score lambda 7,Score lambda 8,Score lambda 9,Score lambda 10,Score lambda 11,Score lambda 12,Score lambda 13,Score lambda 14,Score lambda 15,Score lambda 16,Score lambda 17,Score lambda 18,Score lambda 19,Score lambda 20,Score lambda 21,Score lambda 22,Score lambda 23,Score lambda 24,Score lambda 25,Final Score
InterfaceGAN_LR_0.1_18_color_True,color,SEED PEARL,False,25.0,0.117,0.06,0.06,0.04,0.06,0.1,0.1,0.12,0.12,0.1,0.08,0.08,0.1,0.12,0.12,0.1,0.14,0.14,0.16,0.16,0.16,0.16,0.14,0.14,0.18,0.18,0.18
InterfaceGAN_LR_0.1_18_color_True,color,SEED PEARL,True,25.0,0.869,0.875,0.876,0.869,0.866,0.87,0.862,0.867,0.859,0.849,0.85,0.852,0.861,0.861,0.865,0.864,,,,,,,,,,,0.876
InterfaceGAN_LR_0.1_18_color_True,color,FUJI SNOW,False,25.0,0.332,0.18,0.2,0.2,0.18,0.28,0.26,0.26,0.3,0.28,0.28,0.3,0.3,0.28,0.28,0.3,0.32,0.34,0.4,0.42,0.4,0.46,0.5,0.5,0.54,0.54,0.54
InterfaceGAN_LR_0.1_18_color_True,color,FUJI SNOW,True,25.0,0.859,0.865,0.859,0.852,0.835,0.845,0.844,0.847,0.85,0.85,0.86,0.839,0.846,0.843,0.845,0.851,,,,,,,,,,,0.865
InterfaceGAN_LR_0.1_18_color_True,color,ORANGE ESSENTIAL,False,25.0,0.114,0.14,0.14,0.12,0.14,0.12,0.1,0.08,0.08,0.08,0.08,0.08,0.08,0.1,0.1,0.1,0.1,0.06,0.1,0.12,0.12,0.12,0.12,0.14,0.22,0.2,0.22
InterfaceGAN_LR_0.1_18_color_True,color,ORANGE ESSENTIAL,True,25.0,0.804,0.855,0.855,0.843,0.846,0.833,0.816,0.8,0.799,0.799,0.798,0.797,0.789,0.791,0.791,0.79,,,,,,,,,,,0.855
InterfaceGAN_LR_0.1_18_color_True,color,RIVIERA BEACH,False,25.0,0.079,0.08,0.06,0.04,0.04,0.06,0.08,0.08,0.06,0.06,0.08,0.06,0.06,0.08,0.1,0.06,0.1,0.1,0.1,0.08,0.08,0.1,0.1,0.1,0.1,0.12,0.12
InterfaceGAN_LR_0.1_18_color_True,color,RIVIERA BEACH,True,25.0,0.886,0.878,0.877,0.876,0.876,0.878,0.881,0.883,0.892,0.893,0.886,0.887,0.887,0.889,0.889,0.888,,,,,,,,,,,0.893
InterfaceGAN_LR_0.1_18_color_True,color,NECRON COMPOUND,False,25.0,0.12,0.02,0.04,0.06,0.04,0.04,0.08,0.1,0.1,0.1,0.08,0.1,0.08,0.14,0.14,0.14,0.14,0.14,0.2,0.2,0.16,0.18,0.2,0.18,0.18,0.16,0.2
InterfaceGAN_LR_0.1_18_color_True,color,NECRON COMPOUND,True,25.0,0.727,0.616,0.624,0.633,0.651,0.665,0.681,0.69,0.695,0.705,0.705,0.712,0.712,0.736,0.755,0.755,,,,,,,,,,,0.755
