Method,Variable,Feature,Broad,Optimal lambda,Total Score,Score lambda 1,Score lambda 2,Score lambda 3,Score lambda 4,Score lambda 5,Score lambda 6,Score lambda 7,Score lambda 8,Score lambda 9,Score lambda 10,Score lambda 11,Score lambda 12,Score lambda 13,Score lambda 14,Score lambda 15,Score lambda 16,Score lambda 17,Score lambda 18,Score lambda 19,Score lambda 20,Final Score
ShapleyVec_True_0.25_18_color_LR,color,SEED PEARL,False,18.0,0.136,0.08,0.12,0.18,0.14,0.2,0.14,0.14,0.18,0.2,0.14,0.16,0.16,0.16,0.12,0.14,0.12,0.12,0.1,0.08,0.04,0.2
ShapleyVec_True_0.25_18_color_LR,color,SEED PEARL,True,18.0,0.869,0.879,0.893,0.9,0.897,0.891,0.892,0.885,0.871,0.872,0.862,0.869,0.864,0.863,0.861,0.848,,,,,,0.9
ShapleyVec_True_0.25_18_color_LR,color,FUJI SNOW,False,16.0,0.426,0.18,0.2,0.22,0.26,0.3,0.32,0.34,0.32,0.36,0.42,0.42,0.44,0.52,0.6,0.62,0.56,0.58,0.66,0.64,0.56,0.62
ShapleyVec_True_0.25_18_color_LR,color,FUJI SNOW,True,16.0,0.888,0.875,0.874,0.885,0.886,0.879,0.884,0.875,0.859,0.864,0.881,0.882,0.884,0.896,0.898,0.899,,,,,,0.899
ShapleyVec_True_0.25_18_color_LR,color,ORANGE ESSENTIAL,False,20.0,0.179,0.04,0.08,0.1,0.1,0.12,0.14,0.16,0.16,0.16,0.14,0.18,0.18,0.22,0.22,0.26,0.26,0.24,0.24,0.28,0.3,0.3
ShapleyVec_True_0.25_18_color_LR,color,ORANGE ESSENTIAL,True,20.0,0.804,0.834,0.848,0.846,0.849,0.848,0.823,0.817,0.816,0.809,0.791,0.78,0.78,0.779,0.778,0.781,,,,,,0.849
ShapleyVec_True_0.25_18_color_LR,color,RIVIERA BEACH,False,20.0,0.129,0.1,0.16,0.14,0.14,0.12,0.14,0.12,0.14,0.16,0.16,0.12,0.14,0.18,0.18,0.16,0.12,0.08,0.06,0.08,0.08,0.18
ShapleyVec_True_0.25_18_color_LR,color,RIVIERA BEACH,True,20.0,0.921,0.891,0.893,0.893,0.904,0.905,0.916,0.919,0.932,0.931,0.932,0.931,0.933,0.923,0.928,0.93,,,,,,0.933
ShapleyVec_True_0.25_18_color_LR,color,NECRON COMPOUND,False,18.0,0.123,0.1,0.14,0.14,0.12,0.12,0.12,0.1,0.12,0.14,0.22,0.16,0.16,0.14,0.14,0.1,0.1,0.1,0.1,0.1,0.04,0.22
ShapleyVec_True_0.25_18_color_LR,color,NECRON COMPOUND,True,18.0,0.764,0.639,0.652,0.65,0.657,0.678,0.699,0.701,0.742,0.751,0.781,0.786,0.811,0.825,0.827,0.826,,,,,,0.827
ShapleyVec_True_0.25_18_color_LR,color,WOODEN CABIN,False,15.0,0.156,0.16,0.16,0.14,0.14,0.14,0.12,0.1,0.12,0.12,0.14,0.16,0.18,0.2,0.18,0.2,0.22,0.18,0.12,0.16,0.18,0.2
ShapleyVec_True_0.25_18_color_LR,color,WOODEN CABIN,True,15.0,0.934,0.885,0.903,0.925,0.926,0.926,0.932,0.93,0.934,0.933,0.936,0.945,0.946,0.945,0.944,0.944,,,,,,0.946
ShapleyVec_True_0.25_18_color_LR,color,AMERICAN ROAST,False,10.0,0.123,0.02,0.06,0.1,0.16,0.16,0.12,0.16,0.16,0.16,0.18,0.2,0.24,0.24,0.2,0.1,0.06,0.02,0.02,0.04,0.06,0.18
ShapleyVec_True_0.25_18_color_LR,color,AMERICAN ROAST,True,10.0,0.917,0.865,0.859,0.885,0.897,0.904,0.907,0.914,0.925,0.928,0.934,0.935,0.936,0.938,0.938,0.934,,,,,,0.934
ShapleyVec_True_0.25_18_color_LR,color,ANTIQUITY,False,20.0,0.083,0.0,0.0,0.02,0.02,0.08,0.14,0.18,0.16,0.14,0.16,0.12,0.1,0.1,0.12,0.08,0.04,0.04,0.04,0.06,0.06,0.18
ShapleyVec_True_0.25_18_color_LR,color,ANTIQUITY,True,20.0,0.94,0.907,0.925,0.932,0.937,0.938,0.944,0.952,0.952,0.952,0.951,0.949,0.948,0.949,0.949,0.939,,,,,,0.952
ShapleyVec_True_0.25_18_color_LR,color,NEPAL,False,19.0,0.409,0.08,0.08,0.1,0.18,0.18,0.2,0.26,0.3,0.4,0.48,0.52,0.52,0.58,0.58,0.58,0.62,0.66,0.62,0.62,0.62,0.66
ShapleyVec_True_0.25_18_color_LR,color,NEPAL,True,19.0,0.812,0.62,0.634,0.657,0.676,0.685,0.686,0.729,0.769,0.83,0.837,0.862,0.869,0.889,0.894,0.919,,,,,,0.919
ShapleyVec_True_0.25_18_color_LR,color,FIREBIRD TAIL LIGHTS,False,7.0,0.301,0.08,0.08,0.12,0.14,0.22,0.26,0.22,0.28,0.32,0.34,0.36,0.4,0.36,0.42,0.44,0.46,0.38,0.36,0.4,0.38,0.26
ShapleyVec_True_0.25_18_color_LR,color,FIREBIRD TAIL LIGHTS,True,7.0,0.924,0.842,0.853,0.87,0.89,0.903,0.907,0.914,0.918,0.924,0.923,0.928,0.943,0.942,0.955,0.959,,,,,,0.914
ShapleyVec_True_0.25_18_color_LR,color,CHAI TEA,False,7.0,0.092,0.02,0.08,0.1,0.08,0.06,0.04,0.1,0.14,0.16,0.08,0.12,0.1,0.1,0.14,0.18,0.12,0.08,0.06,0.04,0.04,0.1
ShapleyVec_True_0.25_18_color_LR,color,CHAI TEA,True,7.0,0.919,0.868,0.904,0.908,0.909,0.921,0.921,0.922,0.93,0.937,0.933,0.928,0.926,0.934,0.932,0.934,,,,,,0.922
ShapleyVec_True_0.25_18_color_LR,color,VENOM WYRM,False,20.0,0.105,0.06,0.06,0.06,0.06,0.02,0.04,0.04,0.02,0.04,0.06,0.08,0.1,0.16,0.24,0.2,0.18,0.18,0.16,0.18,0.16,0.24
ShapleyVec_True_0.25_18_color_LR,color,VENOM WYRM,True,20.0,0.808,0.821,0.82,0.817,0.818,0.807,0.811,0.808,0.79,0.803,0.8,0.802,0.804,0.814,0.824,0.82,,,,,,0.824
ShapleyVec_True_0.25_18_color_LR,color,SUPERIOR BRONZE,False,20.0,0.094,0.06,0.08,0.06,0.08,0.06,0.08,0.12,0.06,0.04,0.04,0.1,0.1,0.1,0.14,0.16,0.12,0.08,0.12,0.16,0.12,0.16
ShapleyVec_True_0.25_18_color_LR,color,SUPERIOR BRONZE,True,20.0,0.943,0.892,0.9,0.915,0.938,0.949,0.949,0.945,0.945,0.944,0.945,0.946,0.944,0.945,0.954,0.953,,,,,,0.954
ShapleyVec_True_0.25_18_color_LR,color,ALPHA BLUE,False,9.0,0.178,0.02,0.0,0.02,0.02,0.04,0.08,0.1,0.12,0.16,0.18,0.2,0.28,0.32,0.32,0.34,0.3,0.26,0.26,0.3,0.24,0.16
ShapleyVec_True_0.25_18_color_LR,color,ALPHA BLUE,True,9.0,0.812,0.602,0.627,0.639,0.656,0.698,0.758,0.777,0.792,0.809,0.817,0.835,0.857,0.869,0.899,0.896,,,,,,0.809
ShapleyVec_True_0.25_18_color_LR,color,FALU RED,False,14.0,0.382,0.0,0.0,0.0,0.06,0.1,0.1,0.18,0.28,0.34,0.34,0.36,0.44,0.54,0.58,0.64,0.72,0.72,0.74,0.74,0.76,0.58
ShapleyVec_True_0.25_18_color_LR,color,FALU RED,True,14.0,0.914,0.826,0.833,0.858,0.867,0.88,0.882,0.891,0.902,0.908,0.922,0.922,0.931,0.944,0.95,0.959,,,,,,0.95
ShapleyVec_True_0.25_18_color_LR,color,CRUSADE KING,False,17.0,0.04,0.02,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.08,0.08,0.12,0.08,0.06,0.1,0.04,0.02,0.02,0.02,0.02,0.12
ShapleyVec_True_0.25_18_color_LR,color,CRUSADE KING,True,17.0,0.918,0.889,0.904,0.904,0.912,0.914,0.922,0.921,0.922,0.927,0.931,0.931,0.923,0.922,0.924,0.928,,,,,,0.931
ShapleyVec_True_0.25_18_color_LR,color,AWARD BLUE,False,8.0,0.08,0.02,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.08,0.1,0.1,0.12,0.18,0.18,0.2,0.22,0.24,0.02
ShapleyVec_True_0.25_18_color_LR,color,AWARD BLUE,True,8.0,0.658,0.567,0.576,0.589,0.582,0.593,0.6,0.613,0.623,0.631,0.636,0.659,0.687,0.662,0.697,0.722,,,,,,0.623
